wins,loss
38,31
24,7
41,38
20,6
45,13
31,6
49,24
38,31
19,9
20,3
24,17
26,18
21,10
47,36
12,6
34,29
22,16
27,13
27,10
20,17
62,7
14,13
49,37
19,16
33,14
11,6
23,16
30,27
27,14
20,17
27,7
36,28
16,0
21,16
14,10
21,16
41,14
9,6
23,0
20,16
16,13
41,36
13,7
38,31
24,7
27,18
41,0
39,36
33,18
17,14
38,22
37,34
28,27
15,10
42,14
32,31
20,19
23,20
15,10
41,24
13,0
6,3
27,14
31,10
14,7
33,24
42,10
20,10
21,13
19,6
27,21
23,20
21,14
41,20
37,0
21,7
10,3
41,24
29,3
21,17
20,12
23,22
36,10
16,6
43,14
18,16
31,24
16,13
57,31
28,14
24,13
12,0
31,16
28,19
20,17
27,20
27,24
38,10
24,17
23,14
20,3
31,24
17,14
24,16
22,13
31,10
34,28
13,6
26,3
21,7
29,21
15,10
30,23
20,17
27,24
10,3
15,0
45,29
19,14
24,6
37,24
34,17
44,10
33,14
31,28
28,16
27,13
28,14
54,34
48,7
30,23
31,21
34,16
14,6
31,27
13,9
21,19
31,3
22,0
35,16
40,37
23,20
41,13
13,12
9,6
28,20
12,3
30,18
34,24
21,10
24,7
23,17
24,19
15,13
27,21
23,8
27,24
27,14
16,13
31,15
27,7
16,13
9,7
24,3
49,31
16,15
17,15
30,23
27,24
26,20
31,14
23,6
26,23
13,10
20,10
20,3
28,21
19,11
24,23
21,7
17,7
20,15
38,24
23,15
27,24
31,17
21,17
26,24
34,9
16,13
31,22
24,10
31,21
13,10
38,37
20,3
27,0
16,6
34,24
33,20
34,9
27,15
31,17
23,20
44,7
48,28
31,24
17,10
41,14
17,16
16,13
17,14
38,31
31,7
31,14
24,17
9,7
27,7
21,20
33,6
38,23
24,13
15,13
16,3
30,10
45,17
27,17
48,0
28,6
30,24
15,14
24,17
24,3
16,13
44,10
26,13
35,24
35,3
30,10
31,24
32,13
31,27
40,29
31,7
44,20
24,3
27,24
33,28
20,7
13,10
10,7
17,14
23,7
24,0
30,22
17,0
13,7
20,13
17,13
38,35
28,25
38,9
42,23
20,3
34,20
27,24
26,21
17,14
23,20
16,7
29,13
34,21
52,9
31,10
31,0
23,17
31,28
21,3
21,3
34,16
27,0
24,10
20,10
41,0
16,3
34,7
27,24
28,6
10,6
24,13
9,6
17,6
23,17
45,24
24,6
21,3
16,13
30,3
20,17
31,23
31,20
13,3
17,10
42,26
18,15
13,6
21,10
24,16
32,21
24,14
10,3
27,3
30,26
38,17
37,0
42,10
20,16
45,13
28,7
20,3
44,13
21,13
34,14
38,14
28,14
23,14
20,13
40,18
19,17
28,15
20,16
26,7
16,7
30,10
23,9
31,3
21,20
28,21
20,6
42,36
24,15
14,10
24,14
35,0
20,17
15,14
20,13
31,26
27,25
31,23
24,14
29,26
37,31
31,28
21,17
34,21
23,18
9,7
13,10
20,13
27,24
38,17
17,14
17,10
24,14
24,0
34,14
27,10
35,13
24,16
10,9
35,28
31,27
41,14
18,17
13,12
34,31
37,31
27,24
31,20
17,3
35,21
24,20
20,10
34,7
30,14
24,10
13,10
23,6
21,20
28,24
27,24
21,13
21,7
27,21
27,14
25,20
16,9
38,28
27,24
20,12
48,14
27,7
21,11
15,12
30,13
20,17
20,13
26,16
28,27
48,17
17,10
34,27
16,10
27,17
20,7
25,22
23,20
34,20
24,0
23,20
36,3
34,24
20,7
27,24
17,10
45,38
24,17
28,16
29,27
26,24
19,7
40,21
34,27
10,7
13,3
18,0
34,24
20,17
34,17
28,10
24,21
13,6
24,17
23,10
21,16
39,27
17,16
21,10
31,15
16,13
13,10
27,23
13,10
35,6
20,14
34,31
35,0
28,21
42,24
15,12
14,10
25,24
27,14
27,16
17,7
20,13
24,14
28,10
20,10
28,26
18,7
20,7
41,6
17,13
13,6
26,23
41,27
12,9
15,14
27,24
27,3
15,10
21,0
20,6
26,20
29,3
26,21
34,21
20,13
13,3
13,10
33,3
20,17
20,15
48,21
47,14
16,0
38,32
27,24
33,30
17,10
30,7
29,28
22,10
26,23
30,7
42,17
21,14
24,13
41,38
14,9
24,0
27,21
30,26
24,21
25,22
23,17
40,10
38,0
29,10
20,17
28,7
33,13
38,6
23,21
15,10
34,25
31,13
24,22
21,18
34,7
17,13
19,3
31,9
38,24
25,15
20,3
33,19
16,13
27,10
45,17
24,17
29,24
20,17
16,13
10,7
37,31
49,21
28,25
37,34
40,39
34,6
27,23
31,23
27,24
26,20
31,17
23,16
19,10
30,14
23,16
21,13
25,0
21,13
20,7
44,7
31,7
14,13
35,20
26,21
24,14
24,13
24,3
45,39
30,17
37,7
21,14
23,3
44,13
41,38
30,3
31,28
29,23
23,15
28,23
9,6
20,10
37,31
30,3
26,14
48,30
16,13
13,10
35,17
28,3
17,14
26,21
33,27
21,7
35,7
21,14
52,25
48,23
34,23
28,21
16,13
49,31
32,29
26,13
20,6
31,14
21,17
26,9
29,25
28,25
37,13
26,21
34,21
22,20
31,24
43,27
17,3
34,7
28,10
31,24
14,13
17,10
23,14
35,34
28,13
24,22
28,21
37,34
17,10
37,20
20,7
35,27
23,10
23,20
30,0
34,17
27,21
9,6
20,10
30,9
28,10
25,7
20,10
30,24
12,9
24,17
31,18
24,21
37,35
17,14
38,28
24,16
21,19
26,21
17,3
23,15
38,24
38,3
38,7
23,20
9,7
19,13
20,17
44,13
14,3
23,20
27,14
24,17
24,10
27,20
34,24
38,27
28,24
40,14
35,13
17,10
26,7
27,6
33,30
17,13
13,10
34,10
31,21
20,3
17,16
27,20
24,21
38,14
31,23
19,17
24,17
23,10
20,17
31,9
26,7
31,14
27,20
21,16
20,17
29,21
41,0
13,12
31,13
24,17
24,15
30,3
20,17
21,19
41,20
39,32
21,7
16,14
23,20
38,17
20,12
27,20
30,24
49,0
38,21
30,20
27,23
32,29
13,6
25,23
19,3
30,27
31,24
10,3
23,20
26,20
49,10
34,10
24,6
31,27
52,31
27,21
27,17
27,17
21,20
27,20
37,25
23,20
27,7
19,13
26,22
27,9
30,14
20,13
34,21
23,17
23,19
28,23
29,15
30,24
32,31
23,20
20,13
31,24
20,14
37,7
30,28
24,7
20,17
17,14
27,3
24,22
44,27
26,10
10,0
20,13
24,14
28,10
36,15
30,10
14,13
28,16
30,17
17,7
10,7
24,0
27,9
20,14
34,31
27,24
10,6
38,36
24,16
